评论ID,电影名称,上映年份,用户评分,情感得分,评论内容,点赞数,主要主题,主题名称
3656248097,交换人生,2023,2,0.8263,人生倒霉事之二，昨天晚上看晚会，今天早上看这个（和晚会一样好看）,2595,4,观影期待落差与情绪失望
3656248216,交换人生,2023,4,0.3698,龙虾那段到岳云鹏出现，笑得头都掉了。就是末了有点虎头蛇尾,536,1,导演风格与视听体验问题
3656314217,交换人生,2023,2,1.0,不是每个春节档喜剧都可以是《你好，李焕英》。《交换人生》可以抬走了，一个字儿:烂！ 雷佳音演的很油腻，张小斐戏份和作用仅是大号女配，各个配角也很脸谱化。台词很尬，剧情很无厘头，煽情很刻意且尴尬，矛盾制造的很生硬，问题解决的很突然，还有一些极其令人无语的价值导向（反正烂片有的它都有罢了）。 唯一亮点:张宥浩！他演的很好，台词和形体都很好，是少见的可以演出青春朝气的男演员（或许是我看青春片比较少吧）。他把少年的青涩感和中年男性的成熟感演绎得淋漓尽致，给大家充分彰显了他塑造角色的能力！如果他的资源再进一步，相信他可以有更好的成就。 总之，今年春节档，避开《交换人生》[抠鼻]只是一个观影避雷推荐,933,2,剧情逻辑与叙事结构问题
3658328883,交换人生,2023,2,0.0016,你说无聊吧，还是有点笑点的；你说好笑吧，故事特别无聊甚至有点尬。你说他是奇幻片吧，幼稚没有丝毫逻辑；你说他是家庭片吧，我不知道导演想表达什么，情感和价值观全都是虚浮的，还有很多恶俗趣味。p.s. 能不能不要什么人都来演喜剧，我看到傅首尔都想吐。,743,5,喜剧类型与商业化过度问题
3656242578,交换人生,2023,1,0.9991,仿佛我写作文凑字数 然后在作文中间强行融入几句在别的书籍找到的抄词好句,2310,3,导演个人风格与角色塑造问题
3657146813,交换人生,2023,2,0.0139,春节档最平庸无趣的一部，属于过了密钥期上优爱腾倍速看都得掂量费不费时的鸡肋片，但因为是夹在一堆悬疑、灾难、致郁大片里唯一一部纯喜剧，所以票房也不会太差，应了那句，选对了风口猪都能上天。,702,2,剧情逻辑与叙事结构问题
3656456279,交换人生,2023,2,0.035,半天了，还是想回来骂一句，真难看。审美崩塌，烂梗漫天……电影短视频化什么时候是个头,634,1,导演风格与视听体验问题
3662423339,交换人生,2023,2,0.9897,自己没活明白就想传授人生经验的尬片,264,4,观影期待落差与情绪失望
3674574446,交换人生,2023,2,1.0,奔着雷佳音张小斐互换身体来的，谁要看两个大男人互换身体啊,141,3,导演个人风格与角色塑造问题
3719498719,交换人生,2023,2,0.3487,属于如果我在电影院看了肯定会生气的类型,91,2,剧情逻辑与叙事结构问题
3633959616,交换人生,2023,2,0.079,预感是烂片烂梗不好笑,2,1,导演风格与视听体验问题
3664385966,交换人生,2023,2,0.8248,属于是视频网站上看都嫌拖拉，得两倍速拉完的电影。不如多点张小斐戏份在情人节上映呢。,92,1,导演风格与视听体验问题
3656569108,交换人生,2023,2,1.0,对苏伦这第二部有点失望，故事设定老套但做扎实了绝对能卖，可惜成品煽情水分太太大了，逻辑和喜剧两大关键完全让位给了明确指向春节档的家庭亲情强煽，最终不过是中国电影又一个投机取巧的命题作文。,143,4,观影期待落差与情绪失望
3657709976,交换人生,2023,1,1.0,陈词滥调而又漏洞百出，绝对是今年春节档金鸡独立的零星电影。《超时空同居》的成功该让苏伦尝到了不少甜头吧，这才精神上接档开心麻花端出这样一盘屌丝预制菜。不仅压根没想要认真探讨家庭问题和爱情关系，而且还在不自觉地娱乐和消解它们的内在价值，并且用奇幻类型来为逻辑混乱的文本打掩护——一边用极其戏谑的态度作为情节的驱动力，一边又试图用合家欢的口吻宣告所作所为的合法性。演员们能意识到自己正在表演的其实是一些个中式恐怖段子吗？,338,2,剧情逻辑与叙事结构问题
3704746197,交换人生,2023,2,0.9884,雷佳音没演出来身体里是小孩的感觉，演的是中年人想象中小孩的神态，很假,54,4,观影期待落差与情绪失望
3725597538,交换人生,2023,2,0.4214,感觉像是去吃了一个网红餐厅,29,2,剧情逻辑与叙事结构问题
3211805773,交换人生,2023,1,0.2736,陀螺恰烂钱，无大语，雷佳音粉丝可能可以看满江红，但这破片，我不如再把超时空看两遍,36,1,导演风格与视听体验问题
3673349313,交换人生,2023,1,0.4315,如坐针毡、如鲠在喉、如芒在背,98,5,喜剧类型与商业化过度问题
3713529485,交换人生,2023,1,0.9876,这是我看过情感转折最生硬 叙事逻辑最混乱 主旨最不清晰的电影,44,2,剧情逻辑与叙事结构问题
3707077978,交换人生,2023,2,1.0,这根本不是交换题材的写法，而是《童梦奇缘》《长大》《少女梦三十》这些“一夜长大”题材的写法啊，对于设定与成品之间的巨大位移感到好奇,22,3,导演个人风格与角色塑造问题
3659290160,交换人生,2023,2,0.8584,如果标榜女编剧、女导演拍出来的电影就是这种水平，那也太伤女观众的心了。完全浪费了斐妈的颜值,56,5,喜剧类型与商业化过度问题
3705377641,交换人生,2023,1,0.0,23年目前为止最烂的一部，二倍速我都觉得慢。没有一个人的智商是在线的，毫无笑点，更无共鸣，一部东拼西凑的缝合怪。,53,2,剧情逻辑与叙事结构问题
3716502618,交换人生,2023,1,0.6404,为什么要浪费生命看这种东西,48,5,喜剧类型与商业化过度问题
3664520913,交换人生,2023,2,1.0,也是没想到今年春节档观感最糟糕的竟然是这部……最大的问题是不好笑，而且类型定位很有问题，抱着看爱情喜剧的期待进场，到头来发现看了一个少年的成长，还是贼尬贼无聊那种。女主角乃至全家人都成了工具人，不是很能理解这样的创作意图。如果要进军春节档，落脚点是煽情合家欢，为什么在营销阶段要打两人的喜剧cp感牌，我真的很费解。,35,2,剧情逻辑与叙事结构问题
3661064030,交换人生,2023,2,0.496,家庭、老人、母女、正义等等，一箩筐的大杂烩，出来就成了一个啥也不是的四不像。,52,2,剧情逻辑与叙事结构问题
3708568139,交换人生,2023,2,0.9618,果然本子决定上限，这么一个烂俗的故事很难拍得好。虽说都市幻想不需要讲合理性，但要最起码的逻辑自洽，最后来个天降救星拯救男主，修正一切，彰显出主创团队的懒和蠢！其实可以把煽情元素去掉些，专职搞笑可能会更好。,17,3,导演个人风格与角色塑造问题
3707298788,交换人生,2023,3,0.0373,开端和结尾都太仓促，完成度不高。中间也全都是套路，毫无新意。唯一的亮点就是最后坏人没有洗白。,17,2,剧情逻辑与叙事结构问题
3861479913,交换人生,2023,2,0.2857,这真是一部十足的大烂片了，心疼去电影院看的人们的钱包。即便下载看，看完后我都觉得纯粹浪费时间，雷佳音怎么什么烂片都接.,11,5,喜剧类型与商业化过度问题
3658207602,交换人生,2023,1,0.4031,放过大家吧，过年呢,47,5,喜剧类型与商业化过度问题
3703867603,交换人生,2023,2,0.1192,好心疼去电影院看的各位……卡司这么厉害，但是导演不懂他们……所以这个故事也是乱七八糟的……大头是不是没钱了……,32,1,导演风格与视听体验问题
3741314429,交换人生,2023,3,0.2725,我在想，为啥交换身体这种题材一直拍，明明就是最难拍出新意的啊。不过雷佳音本人变成鹅最后没变回来，好评，哈哈。,12,4,观影期待落差与情绪失望
